year,month,day,dayoftheweek,time,type1,type2,type3,title,eventtitle,prefecture,place,with,info
2023,11,23,木,,ライブ,ワンマン,,To the 11'Eleven,夜公演,,パシフィコ横浜,,
2023,12,13,水,,リリース,DVD,,小倉唯 Memorial LIVE 2023?10th Anniversary Assemble!!?,,,,,
2023,12,16,土,,イベント,公開録音,,#ゆいしょ!公開録音,1部,,科学技術館サイエンスホール,,
2023,12,16,土,,イベント,公開録音,,#ゆいしょ!公開録音,2部,,科学技術館サイエンスホール,,
2023,12,16,土,,イベント,公開録音,,#ゆいしょ!公開録音,3部,,科学技術館サイエンスホール,,
2023,12,21,木,,歩み,,,『MAQUIAフェイスオブザイヤー2023』を受賞,,,,,
2023,12,23,土,15:00,特典会,DVD,,10th Anniversary Assemble!!,,東京,某所,ゲーマーズ・コロムビアミュージックショップ,
2023,12,23,土,18:30,特典会,DVD,,10th Anniversary Assemble!!,,東京,某所,ゲーマーズ・コロムビアミュージックショップ,
2023,12,24,日,14:00,特典会,DVD,,10th Anniversary Assemble!!,,オンライン,,アニメイト,
2024,2,7,水,,リリース,書籍,写真集,ゆいたび,,,,講談社,
2024,3,9,土,13:00,特典会,書籍,写真集,ゆいたび,,東京,某所,アニメイト,
2024,3,9,土,16:00,特典会,書籍,写真集,ゆいたび,,東京,某所,アニメイト,
2024,3,10,日,13:00,特典会,CD,シングル,君色のキセキ,,東京,アニメイト池袋本店,アニメイト,
2024,3,10,日,15:00,特典会,CD,シングル,君色のキセキ,,東京,アニメイト池袋本店,アニメイト,
2024,3,10,日,17:00,特典会,CD,シングル,君色のキセキ,,東京,アニメイト池袋本店,アニメイト,
2024,4,13,土,13:00,特典会,CD,シングル,君色のキセキ,,愛知,大須第一アメ横ビル会議室,ゲーマーズ,
2024,4,13,土,14:30,特典会,CD,シングル,君色のキセキ,,愛知,大須第一アメ横ビル会議室,ゲーマーズ,
2024,4,13,土,17:00,特典会,CD,シングル,君色のキセキ,,愛知,第3太閤ビル,アニメイト,
2024,4,13,土,18:30,特典会,CD,シングル,君色のキセキ,,愛知,第3太閤ビル,アニメイト,
2024,4,14,日,14:00,特典会,CD,シングル,君色のキセキ,,大阪,アニメイト大阪日本橋,アニメイト,
2024,4,14,日,16:00,特典会,CD,シングル,君色のキセキ,,大阪,アニメイト大阪日本橋,アニメイト,
2024,4,14,日,18:00,特典会,CD,シングル,君色のキセキ,,大阪,アニメイト大阪日本橋,アニメイト,
2024,4,20,土,13:00,特典会,CD,シングル,君色のキセキ,,東京,AKIHABARAゲーマーズ本店,ゲーマーズ,
2024,4,20,土,15:00,特典会,CD,シングル,君色のキセキ,,東京,AKIHABARAゲーマーズ本店,ゲーマーズ,
2024,4,20,土,17:00,特典会,CD,シングル,君色のキセキ,,東京,AKIHABARAゲーマーズ本店,ゲーマーズ,
2024,4,24,水,,リリース,CD,シングル,君色のキセキ,,,,,
